	datetime	message
171	2020-06-07 19:31:01	<VOAChinese> 特朗普总统下令从华盛顿撤走国民警卫队 http://dlvr.it/RY9VGl 
228	2020-06-07 19:25:00	<RFAChinese> 长期以来，特朗普对军事领导人和阅兵式的盛况和官威心驰神往，本周，他在国防部高级官员的陪同下，大步迈过华盛顿的拉斐特公园。其中包括国防部长埃斯珀，他在其他场合将城市称为“战场”。另一位是身着迷彩服的参谋长联席会议主席米利上将。   https://buff.ly/2XGydtm 
428	2020-06-07 19:24:11	<TIME> U.K. protesters pull down statue of slave trader and throw it into the Bristol Harbour https://ti.me/30p2dM6 
158	2020-06-07 19:20:06	<nytimes> After a high-stakes and public feud with Democratic officials in North Carolina, President Trump and the Republican National Committee are moving to largely shift convention proceedings to another state https://nyti.ms/2APIxWZ 
344	2020-06-07 19:17:45	<HuPing1> 如果我们对人类持一种清醒的现实的态度，正视人性的种种弱点，我们就不能不承认，要让世人彻底克服种族偏见几乎是不可能的（想想你自己和你的朋友有几个能做到），我们充其量只能建立一种肯定种族平等的制度和法律，形成一种肯定种族平等的主流舆论，限制种族歧视的恶性发作，减少公开的种族歧视现象。 https://twitter.com/IP1234567kkk/status/1269708301916237826 …
83	2020-06-07 19:15:02	<realDonaldTrump> .@RonnyJackson4TX is a spectacular man. An Admiral in the Navy, he is a brave and loyal Warrior who loves our Military and Vets. As a medical doctor, Ronny is great on HealthCare and he is Strong on Cutting Taxes, the Border and the Second Amendment...
82	2020-06-07 19:15:02	<realDonaldTrump> ...I know Ronny well. He will NEVER let you down. Solid as a rock. Ronny has my Complete and Total Endorsement! #TX13 #MAGA https://secure.winred.com/texans-for-ronny-jackson/contribute …
84	2020-06-07 19:13:36	<realDonaldTrump> Congressman Jeff Van Drew (@VanDrewForNJ) is a Courageous Leader who defended me against Pelosi’s Impeachment Scam and is a conservative who shares our Republican values. Jeff is a fighter for South Jersey and will always put America First. Vote for Jeff! https://secure.winred.com/van-drew-for-congress/donate …
85	2020-06-07 19:12:51	<realDonaldTrump> Congressman Mark Amodei (@AmodeiForNevada) is working hard for the incredible people of Nevada! He is Strong on Immigration, Taxes, Job Creation and he Loves our Military and Vets. Mark has my Complete and Total Endorsement! #NV02 #MAGA
86	2020-06-07 19:12:26	<realDonaldTrump> Governor Doug Burgum (@DougForDakota) is doing a phenomenal job leading North Dakota! He is a true Conservative, and First Lady Kathryn Burgum’s leadership against the disease of addiction inspires us all. Doug has my Complete and Total Endorsement! #NDGOV https://secure.winred.com/dougburgum/donate …
87	2020-06-07 19:11:46	<realDonaldTrump> Congresswoman Carol Miller (@CarolMillerWV) is a tremendous advocate for the people of West Virginia! She fights for our Coal Miners, the Second Amendment and for Lower Taxes. Carol has my Complete and Total Endorsement! #WV03 https://secure.winred.com/CarolMiller/donate …
88	2020-06-07 19:11:23	<realDonaldTrump> Congressman Alex Mooney (@MooneyforWV) is a champion for West Virginia! He is strong on Life and the Second Amendment, and he works hard for our incredible Veterans and Coal Miners. Alex has my Complete and Total Endorsement! #WV02 https://secure.winred.com/alexmooney/donate …
89	2020-06-07 19:10:53	<realDonaldTrump> Unlike Senator Manchin, Big Jim Justice was very loyal to your favorite President during Pelosi’s Impeachment Scam. Big Jim is doing a tremendous job for West Virginia. Vote for Big Jim! #MAGA
159	2020-06-07 19:10:05	<nytimes> Take a virtual stroll of the parks, art and landmarks of the financial district, which was once packed with workers but is now as quiet as a backyard. @kimmelman chats with Claire Weisz, an architect and longtime resident of the neighborhood. https://nyti.ms/3dhz218 
429	2020-06-07 19:01:37	"<TIME> ""We have to find enough compassion for ourselves that we can admit it if we’re not really O.K. and recognize that, even if we have our basic needs met, this can still be awful,"" @SusannaSchrobs writes https://ti.me/3dC93Su "
172	2020-06-07 19:00:15	<VOAChinese> 英国民众7日在伦敦的唐宁街和美国驻英国大使馆等地方举行抗议，有抗议者被拘捕。声援美国由于黑人弗洛伊德之死引发的“黑人生命也珍贵”示威。欧洲其他一些城市也有抗议活动。   https://bit.ly/2MBzMCT  pic.twitter.com/WnGj7YBiGh
345	2020-06-07 18:59:45	<HuPing1> 如果有系统性歧视，不提白人中有良知者，也不提黑人总统黑人大法官小法官、黑人各级地方官员、黑人警察黑人警长，单单是那么多黑人律师记者，还有乔丹、奥芙蕾这些大明星早就成冤情大使，整天呼吁，不断地为受害者发声维权了。查查这些人先前那么多年的发言，你就知道事情到底有没有现在说的那么严重。 https://twitter.com/owlsnow1213/status/1269698971913482240 …
90	2020-06-07 18:58:10	<realDonaldTrump> We need @KarenHandel back in Congress to fight for the incredible people of Georgia! She is a tremendous advocate for our Military, Vets, Border Security and the Second Amendment. Karen has my Complete and Total Endorsement! #GA06 https://secure.winred.com/handel-for-congress/donate …
91	2020-06-07 18:56:42	<realDonaldTrump> Congressman Austin Scott (@AustinScott4GA) is doing a phenomenal job for the GREAT State of Georgia. He works hard for our incredible Farmers, Military, Vets and the Second Amendment. Austin has my Complete and Total Endorsement! #GA08 https://secure.winred.com/austin-scott-for-congress/donate …
92	2020-06-07 18:56:18	<realDonaldTrump> Congressman Buddy Carter (@Buddy_Carter) keeps fighting for the incredible people of Georgia. Buddy has my Complete and Total Endorsement! Vote for Buddy! #GA01  https://secure.winred.com/buddycarter/donate …
93	2020-06-07 18:53:03	<realDonaldTrump> Congressman Joe Wilson is a champion for the people of South Carolina! He served our Country as a Colonel in the Army, and now he serves our Military & Vets in Congress. Strong on the #2A and Border Security! Joe has my Complete & Total Endorsement! #SC02 https://secure.winred.com/joewilson/donate …
160	2020-06-07 18:50:02	<nytimes> In Opinion  The editorial board writes, “Elected officials should find it sobering that six in 10 parents say they are likely to continue home learning instead of sending their kids back to school this fall” https://nyti.ms/2YdhD3k 
94	2020-06-07 18:49:26	<realDonaldTrump> Senator @LindseyGrahamSC is a good friend and strong voice for the people of South Carolina. He’s helped us confirm GREAT Judges, rebuild the Military, and keep our Country SAFE. Strong on Life and our Vets. Lindsey has my Complete and Total Endorsement! https://secure.winred.com/team-graham/donate …
161	2020-06-07 18:47:51	<nytimes> After days of protests, New York City Mayor Bill de Blasio pledged to cut the NYPD’s $6 billion annual budget and use the funds for social services https://nyti.ms/30gogVh 
229	2020-06-07 18:46:00	<RFAChinese> 这是一个赞扬普京总统拥有对俄罗斯“非常强大的控制权”的男人，他还曾表示，中国在天安门广场的暴力镇压展示了“权力的力量”，现在他开始威胁要部署军队到州长们未能平复暴乱的州去。  特朗普告诉州长，“你们必须惩罚”那些他谓之“恐怖分子”的抗议者。   https://buff.ly/2XGydtm 
95	2020-06-07 18:37:18	<realDonaldTrump>  pic.twitter.com/7YsXCmfHBy
430	2020-06-07 18:34:01	<TIME> Protesters rallying for racial justice in Washington see a watershed moment https://ti.me/2MEdy36 
431	2020-06-07 18:31:50	"<TIME> ""President Trump’s effort to expand the G-7 is doomed to fail,"" @ianbremmer writes https://ti.me/2AC0lVD "
162	2020-06-07 18:30:05	<nytimes> Giving children the freedom to explore their gender identity is key to their well-being and resilience https://nyti.ms/2Y4ym9h 
346	2020-06-07 18:29:59	<HuPing1> 那么多黑人当地方官的地方也是吗？ https://twitter.com/owlsnow1213/status/1269696632628469765 …
432	2020-06-07 18:24:00	<TIME> Why protesters want to defund police departments https://ti.me/2BCtW1z 
100	2020-06-07 18:15:10	<Akamai> Game on! @riotgames explains their strategy to make seamless user experience a priority while supporting content and annual updates.  http://ow.ly/XRpR50zTtVz  pic.twitter.com/2FsFE0nNfI
507	2020-06-07 18:12:07	<CoinDesk> ICYMI:  .@OliviaLovenmark: “Tokenized protocols like tBTC and wBTC can be more personally exciting because they expand a bitcoin holder’s financial options, whereas tokenless protocols like @lightning improve network infrastructure.”  #WeekendReads https://www.coindesk.com/ethereum-has-become-bitcoins-top-off-chain-destination …
163	2020-06-07 18:10:03	<nytimes> 2 Brooklyn lawyers were arrested last week, accused of throwing a Molotov cocktail into an empty police patrol car https://nyti.ms/2zaPYYu 
230	2020-06-07 18:03:01	<RFAChinese> 如果西方无法恢复对民主普世力量的信念——从印度到印尼，从加纳到乌拉圭——那么中国就可以如愿占领世界。 https://buff.ly/3h3TogX 
433	2020-06-07 18:01:39	<TIME> “There is so much hurt, frustration and pain right now that sometimes you have no words for it, but you can see it in their eyes.” Photographers share what they experienced while covering protests across America https://ti.me/2z6pzel 
164	2020-06-07 17:50:07	<nytimes> Pete Davidson and Judd Apatow balance candor and comedy in “The King of Staten Island,” a film based on Davidson’s life. The SNL star said that opening up about his father’s death “not only helped the movie, but it helped me as a person.” https://nyti.ms/2AIH9pg 
434	2020-06-07 17:48:57	<TIME> Some American cities reconsider use of tear gas, police tactics amid widespread protests https://ti.me/2MEETlw 
165	2020-06-07 17:44:07	<nytimes> Thousands gathered in Washington, D.C., on Saturday to protest George Floyd’s death, racism and police brutality. From speeches to line dances, here’s what we saw and whom we met.  https://nyti.ms/2BBtHUw  pic.twitter.com/gaTog6aGr0
231	2020-06-07 17:33:01	<RFAChinese> 世界需要美国领导层提醒人们，尊重自由和人的尊严是通往人类共同命运的最佳途径。北京模式——一个专制的政党国家一心一意地夸大经济改善而不提自由的政治选择——对某些人来说可能看起来很有吸引力。但是它不能被广泛模仿。   https://buff.ly/3h3TogX 
435	2020-06-07 17:31:40	<TIME> How philanthropy can help achieve racial justice #TIME100Talks https://ti.me/2UdZr8D 
